FK_ZAEHLER;FK_STANDORT;DATUM;VELO_IN;VELO_OUT;FUSS_IN;FUSS_OUT;OST;NORD
ECO07091438;3919;2019-01-14T00:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-14T01:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-14T02:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-14T03:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-14T04:00;1;0;;;2682873;1245891
ECO07091438;3919;2019-01-14T05:00;4;9;;;2682873;1245891
ECO07091438;3919;2019-01-14T06:00;35;8;;;2682873;1245891
ECO07091438;3919;2019-01-14T07:00;75;14;;;2682873;1245891
ECO07091438;3919;2019-01-14T08:00;69;13;;;2682873;1245891
ECO07091438;3919;2019-01-14T09:00;22;6;;;2682873;1245891
ECO07091438;3919;2019-01-14T10:00;7;6;;;2682873;1245891
ECO07091438;3919;2019-01-14T11:00;8;11;;;2682873;1245891
ECO07091438;3919;2019-01-14T12:00;8;1;;;2682873;1245891
ECO07091438;3919;2019-01-14T13:00;13;3;;;2682873;1245891
ECO07091438;3919;2019-01-14T14:00;4;13;;;2682873;1245891
ECO07091438;3919;2019-01-14T15:00;8;14;;;2682873;1245891
ECO07091438;3919;2019-01-14T16:00;15;17;;;2682873;1245891
ECO07091438;3919;2019-01-14T17:00;14;44;;;2682873;1245891
ECO07091438;3919;2019-01-14T18:00;13;44;;;2682873;1245891
ECO07091438;3919;2019-01-14T19:00;10;14;;;2682873;1245891
ECO07091438;3919;2019-01-14T20:00;12;13;;;2682873;1245891
ECO07091438;3919;2019-01-14T21:00;1;2;;;2682873;1245891
ECO07091438;3919;2019-01-14T22:00;3;4;;;2682873;1245891
ECO07091438;3919;2019-01-14T23:00;0;2;;;2682873;1245891
ECO07091438;3919;2019-01-15T00:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-15T01:00;0;1;;;2682873;1245891
ECO07091438;3919;2019-01-15T02:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-15T03:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-15T04:00;2;0;;;2682873;1245891
ECO07091438;3919;2019-01-15T05:00;3;15;;;2682873;1245891
ECO07091438;3919;2019-01-15T06:00;41;12;;;2682873;1245891
ECO07091438;3919;2019-01-15T07:00;111;13;;;2682873;1245891
ECO07091438;3919;2019-01-15T08:00;70;20;;;2682873;1245891
ECO07091438;3919;2019-01-15T09:00;70;20;;;2682873;1245891
ECO07091438;3919;2019-01-15T10:00;19;3;;;2682873;1245891
